listing_id,host_name,room_type,description,borough,nbhood,last_review,price
18340320,Lesley,entire home/apt,Spacious Studio in Hamilton Heights,Manhattan, Harlem,June 24 2019,200
18340599,Griffith,private room,Your cozy home away from home.,Brooklyn, East New York,May 27 2019,99
18341576,Jeff,entire home/apt,Spacious Sunlit 1 BR Apartment in Heart of Harlem,Manhattan, Harlem,May 09 2019,110
18342361,Emily,private room,"Romantic Artist's Townhouse, 1 suite: 2 Bd, 1 Bath",Manhattan, Upper West Side,June 27 2019,250
18348512,Val &Yuko,private room,NYC Hells Kitchen 51St ﾐｯﾄﾞﾀｳﾝｳｴｽﾄｻｲﾄﾞ,Manhattan, Hell's Kitchen,July 06 2019,65
18354443,Kosuke,entire home/apt,Spacious colorful East Village 2BR,Manhattan, East Village,January 02 2019,150
18357947,Katie,private room,"Cozy, private room in Williamsburg, Brooklyn!",Brooklyn, Williamsburg,June 19 2019,100
18358279,Luna,entire home/apt,Luxury 2 Bedroom Apartment!!,Manhattan, Financial District,July 01 2019,130
18358437,Yosef,private room,"Clean, Modern Duplex Upper East Side with Patio",Manhattan, Upper East Side,June 24 2019,115
18358606,Kate,entire home/apt,Gorgeous  Renovated 1BR - close to Central Park,Manhattan, East Harlem,June 20 2019,195
18359115,Anastasia,entire home/apt,LOVELY APARTMENT IN BEST LOCATION !,Manhattan, Upper East Side,April 19 2019,145
18359426,Josephine,private room,Lovely room with a view.,Queens, Arverne,April 12 2019,48
18361045,Alex,entire home/apt,Artist Open Concept Loft,Brooklyn, Downtown Brooklyn,May 27 2019,225
18369169,Mark,private room,"☆☆Hell's Kitchen, Central Park, Times Square☆☆",Manhattan, Hell's Kitchen,July 01 2019,130
18369887,Kara,entire home/apt,Sunny & Spacious 1 Bedroom in Central Harlem!,Manhattan, East Harlem,May 27 2019,150
18370699,Monika,entire home/apt,Spacious Greenpoint Apt near McGolrick Park!,Brooklyn, Greenpoint,June 26 2019,145
18370979,Nicky,private room,"Comfy, Awesome, Large Apt. in Brownstone",Brooklyn, Clinton Hill,June 15 2019,95
18371333,Sebastian,private room,Beautiful and Sunny Private Room in Brooklyn,Brooklyn, Bushwick,June 09 2019,49
