listing_id,host_name,room_type,description,borough,nbhood,last_review,price
2595,Jennifer,entire home/apt,Skylit Midtown Castle,Manhattan, Midtown,May 21 2019,225
3831,LisaRoxanne,entire home/apt,Cozy Entire Floor of Brownstone,Brooklyn, Clinton Hill,July 05 2019,89
5099,Chris,entire home/apt,Large Cozy 1 BR Apartment In Midtown East,Manhattan, Murray Hill,June 22 2019,200
5178,Shunichi,private room,Large Furnished Room Near B'way,Manhattan, Hell's Kitchen,June 24 2019,79
5238,Ben,entire home/apt,Cute & Cozy Lower East Side 1 bdrm,Manhattan, Chinatown,June 09 2019,150
5295,Lena,entire home/apt,Beautiful 1br on Upper West Side,Manhattan, Upper West Side,June 22 2019,135
5441,Kate,private room,Central Manhattan/near Broadway,Manhattan, Hell's Kitchen,June 23 2019,85
5803,Laurie,private room,"Lovely Room 1, Garden, Best Area, Legal rental",Brooklyn, South Slope,June 24 2019,89
6021,Claudio,private room,Wonderful Guest Bedroom in Manhattan for SINGLES,Manhattan, Upper West Side,July 05 2019,85
6848,Allen & Irina,entire home/apt,Only 2 stops to Manhattan studio,Brooklyn, Williamsburg,June 29 2019,140
7097,Jane,entire home/apt,Perfect for Your Parents + Garden,Brooklyn, Fort Greene,June 28 2019,215
7322,Doti,private room,Chelsea Perfect,Manhattan, Chelsea,July 01 2019,140
7726,Adam And Charity,entire home/apt,Hip Historic Brownstone Apartment with Backyard,Brooklyn, Crown Heights,June 22 2019,99
8024,Lisel,private room,CBG CtyBGd HelpsHaiti rm#1:1-4,Brooklyn, Park Slope,July 01 2019,130
8025,Lisel,private room,CBG Helps Haiti Room#2.5,Brooklyn, Park Slope,January 01 2019,80
8110,Lisel,private room,CBG Helps Haiti Rm #2,Brooklyn, Park Slope,July 02 2019,110
8490,Nathalie,entire home/apt,"MAISON DES SIRENES1,bohemian apartment",Brooklyn, Bedford-Stuyvesant,June 19 2019,120
8505,Gregory,private room,Sunny Bedroom Across Prospect Park,Brooklyn, Windsor Terrace,June 23 2019,60
9518,Shon,private room,"SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM",Manhattan, Inwood,June 15 2019,44
9657,Dana,entire home/apt,Modern 1 BR / NYC / EAST VILLAGE,Manhattan, East Village,April 19 2019,180
9668,Ssameer Or Trip,private room,front room/double bed,Manhattan, Harlem,June 01 2019,50
9704,Teri,private room,Spacious 1 bedroom in luxe building,Manhattan, Harlem,June 14 2019,52
9782,Andrea,private room,Loft in Williamsburg Area w/ Roof,Brooklyn, Greenpoint,June 15 2019,55
9783,Ssameer Or Trip,private room,back room/bunk beds,Manhattan, Harlem,July 01 2019,50
10452,Angela,private room,Large B&B Style rooms,Brooklyn, Bedford-Stuyvesant,May 12 2019,70
10962,Laurie,private room,"Lovely room 2 & garden; Best area, Legal rental",Brooklyn, South Slope,June 21 2019,89
11708,Tyrome,entire home/apt,Cute apt in artist's home,Brooklyn, Bushwick,June 22 2019,85
12048,Ben,shared room,LowerEastSide apt share shortterm 1,Manhattan, Lower East Side,July 05 2019,40
12192,Edward,private room,ENJOY Downtown NYC!,Manhattan, East Village,June 21 2019,68
12299,Abdul,entire home/apt,Beautiful Sunny Park Slope Brooklyn,Brooklyn, South Slope,May 27 2019,120
12318,Cyn,private room,West Side Retreat,Manhattan, Upper West Side,June 16 2019,135
12343,Earl,entire home/apt,BEST BET IN HARLEM,Manhattan, Harlem,June 13 2019,150
12627,Rana,entire home/apt,Entire apartment in central Brooklyn neighborhood.,Brooklyn, Prospect-Lefferts Gardens,June 05 2019,150
12937,Orestes,private room,"1 Stop fr. Manhattan! Private Suite,Landmark Block",Queens, Long Island City,July 01 2019,130
12940,Adreinne,entire home/apt,Charming Brownstone 3 - Near PRATT,Brooklyn, Bedford-Stuyvesant,May 25 2019,110
13394,Alexander,private room,Fort Greene brownstone,Brooklyn, Fort Greene,June 17 2019,80
13808,JT And Tiziana,private room,Blue Room for 2 in Brownstone for $1350 monthly,Brooklyn, Bedford-Stuyvesant,June 16 2019,80
14287,Joya,entire home/apt,Cozy 1BD on Central Park West in New York City,Manhattan, Upper West Side,July 07 2019,151
14290,James,entire home/apt,* ORIGINAL BROOKLYN LOFT *,Brooklyn, Williamsburg,May 17 2019,228
14314,Jeanne,entire home/apt,Greenpoint Place...Has It All!,Brooklyn, Greenpoint,June 29 2019,144
14322,Francesca,entire home/apt,Beautiful Apartment in Manhattan!!!,Manhattan, Kips Bay,March 25 2019,200
14377,Joanna,entire home/apt,Williamsburg 1 bedroom Apartment,Brooklyn, Williamsburg,June 22 2019,150
14991,Bianca,private room,"Great Location, Manhattan Bedroom!",Manhattan, Lower East Side,May 18 2019,110
15220,Luiz,private room,Best Location in NYC! TIMES SQUARE!,Manhattan, Hell's Kitchen,June 09 2019,69
15338,Andrea,private room,Room in Greenpoint Loft w/ Roof,Brooklyn, Greenpoint,June 04 2019,49
15341,Ted,entire home/apt,**Bright Nolita Apt w Doorman/Elevators/Gym**,Manhattan, SoHo,June 29 2019,180
15385,Cristina,private room,"Very, very cozy place",Brooklyn, Williamsburg,June 30 2019,80
15711,D,entire home/apt,2 bedroom - Upper East Side-great for kids,Manhattan, Upper East Side,March 30 2019,250
16326,Dimitri,entire home/apt,Comfortable 4-bedroom apt in family house.,Brooklyn, Prospect Heights,January 26 2019,200
16421,Mark,private room,Your Heaven in Hells Kitchen,Manhattan, Hell's Kitchen,May 16 2019,52
16580,Reka,private room,"Sunny, Modern room in East Village!",Manhattan, East Village,July 01 2019,80
16595,Daniel,entire home/apt,*HAVEN LOFT - Entire Floor - Six Windows - Bricks*,Brooklyn, Williamsburg,June 23 2019,275
16821,Casey,private room,Large Room in Amazing East Village Apt,Manhattan, East Village,June 21 2019,99
16974,Robin,entire home/apt,SpaHa Loft: Enormous and Bright,Manhattan, East Harlem,June 23 2019,225
17092,Enzo,private room,Cool Room in Hell's Kitchen,Manhattan, Hell's Kitchen,June 01 2019,51
17693,Tye And Etienne,private room,"HARLEM, NEW YORK WELCOMES YOU!!",Manhattan, Washington Heights,June 18 2019,65
17747,George,private room,BLUE TRIM GUEST HOUSE,Brooklyn, Clinton Hill,June 26 2019,105
18127,Josh,entire home/apt,Charming East Village One Bedroom Flat,Manhattan, East Village,January 02 2019,190
18152,Victoria,private room,Manhattan Room,Manhattan, Upper East Side,July 09 2019,200
18198,Justin,private room,Little King of Queens,Queens, Woodside,May 31 2019,70
18590,Blaise,private room,Fort Greene Retreat on the Park,Brooklyn, Fort Greene,June 16 2019,95
18728,DAVID And RICK,private room,Beautiful Meatpacking District Loft,Manhattan, Chelsea,May 28 2019,150
18764,Lulú,private room,Cozy 2 BR in Williamsburg,Brooklyn, Williamsburg,April 22 2019,145
19159,Sybilla,entire home/apt,Spacious luminous apt Upper West NYC,Manhattan, Harlem,March 23 2019,110
19169,JoLynn,entire home/apt,Entire 2 Bedroom - Large & Sunny,Manhattan, Lower East Side,June 30 2019,285
19282,Gaia,entire home/apt,"Sunny, Spacious Top Floor Haven",Brooklyn, Flatbush,June 15 2019,130
19319,Ana,private room,Private room Great Deal at Lower East Side,Manhattan, Lower East Side,April 08 2019,94
20299,Edward,private room,Oh glorious spring!,Manhattan, East Village,June 30 2019,60
20611,Lulú,private room,Cozy Bedroom in Williamsburg 3 BR,Brooklyn, Williamsburg,June 22 2019,85
20724,Augustin,private room,Sunny room+Pvte office in huge loft,Brooklyn, Bushwick,May 26 2019,65
20734,Sean & Lynette,entire home/apt,Spacious Prospect Heights Apartment,Brooklyn, Prospect Heights,June 27 2019,131
20755,Erica,private room,"Large Parlor Room, Landmark Home 1 block to PRATT",Brooklyn, Clinton Hill,May 31 2019,98
20853,Tracy,entire home/apt,2-bed brownstone duplex + garden,Brooklyn, Prospect Heights,May 21 2019,250
21293,Tyrome,entire home/apt,Sunny Apartment in Artist Home,Brooklyn, Bushwick,June 18 2019,105
21456,Dana,entire home/apt,Light-filled classic Central Park,Manhattan, Upper West Side,July 07 2019,140
21794,Olan,private room,COZY QUIET room 4 DOOGLERS!,Manhattan, Chelsea,May 01 2019,98
22918,Ssameer Or Trip,private room,loft bed - near transportation-15min to times sq,Manhattan, Harlem,January 03 2019,60
23135,Annette,entire home/apt,House On Henry (3rd FLR Suite),Brooklyn, Carroll Gardens,June 24 2019,175
24143,Seth,private room,"Williamsburg‚ÄîSteps To Subway, Private Bath&Balcony",Brooklyn, Williamsburg,May 29 2019,101
25235,Shelly,entire home/apt,Large 2 Bedroom Great for Groups!,Brooklyn, Bedford-Stuyvesant,June 28 2019,125
25696,Dena,private room,"1,800 sq foot in luxury building",Manhattan, Harlem,June 23 2019,100
26362,Luiz,private room,"Times Square, Safe, Clean and Cozy!",Manhattan, Hell's Kitchen,June 16 2019,59
26520,Erica,private room,"Cozy Room #3, Landmark Home 1 Block to PRATT",Brooklyn, Clinton Hill,June 02 2019,125
26969,Alexandra,entire home/apt,2 story family home in Williamsburg,Brooklyn, Williamsburg,June 23 2019,325
27006,Stacy,entire home/apt,Comfortable UWS 2-BD Family-Friendly Brownstone,Manhattan, Upper West Side,April 27 2019,235
27385,Bruce,entire home/apt,Great Large 1 BR apt  in East Village!,Manhattan, East Village,June 07 2019,225
27531,Evelyn,private room,Eveland Private Bed & Living Room w/ Own Entrance,Brooklyn, South Slope,May 20 2019,99
27644,Emma,entire home/apt,Sugar Hill Rest Stop,Manhattan, Harlem,July 01 2019,170
27759,Sylvie,entire home/apt,apartment next to Central park,Manhattan, Upper West Side,June 26 2019,170
29013,Angela,private room,B & B Room 1,Brooklyn, Bedford-Stuyvesant,May 14 2019,70
29455,Laurine,entire home/apt,ACCOMMODATIONS GALORE #1,Manhattan, Harlem,June 20 2019,120
29628,Chris,private room,Sunny Room in New Condo,Brooklyn, Clinton Hill,July 03 2019,89
29683,Uli,entire home/apt,Stylish & Sleek Apartment Near SoHo!,Manhattan, East Village,June 25 2019,185
30031,Sol,private room,NYC artists‚Äô loft with roof deck,Brooklyn, Greenpoint,May 20 2019,50
30927,Cs,entire home/apt,Unique & Charming small 1br Apt. LES,Manhattan, Lower East Side,June 14 2019,105
31130,Lara,private room,Most Central Location!,Manhattan, Hell's Kitchen,May 26 2019,130
31555,Tom,entire home/apt,Luminous Beautiful West Village Studio,Manhattan, West Village,July 01 2019,115
31902,Sunder,private room,Sanctuary in East Flatbush,Brooklyn, Flatlands,January 01 2019,77
31994,Waldemar,private room,Room with En Suite Bathroom & Deck,Brooklyn, Clinton Hill,June 24 2019,76
32023,Khem,entire home/apt,FLAT MACDONOUGH,Brooklyn, Bedford-Stuyvesant,June 23 2019,125
32037,Sahr,private room,Huge Private  Floor at The Waverly,Brooklyn, Clinton Hill,July 01 2019,135
32965,Khem,entire home/apt,FLAT MACDONOUGH GARDEN,Brooklyn, Bedford-Stuyvesant,June 20 2019,115
32969,Katherine,entire home/apt,Light filled Williamsburg Apartment,Brooklyn, Williamsburg,July 02 2019,160
33009,Ming,entire home/apt,Retreat in Williamsburg,Brooklyn, Williamsburg,June 17 2019,195
33014,Paula,entire home/apt,NYC Zen,Manhattan, East Village,June 17 2019,195
33223,Lulú,private room,Cozy BR in Wiliamsburg 3 Bedroom,Brooklyn, Williamsburg,June 22 2019,80
34760,Obed,private room,Sunny Room in Old Historical Brooklyn Townhouse,Brooklyn, Fort Greene,June 29 2019,44
35526,Karen,private room,Sun Filled Classic West Village Apt,Manhattan, West Village,June 22 2019,156
36133,White,private room,Classic Artist Loft Williamsburg,Brooklyn, Williamsburg,June 13 2019,125
36703,Karene,entire home/apt,"Sunny, clean 1 bdrm in W. Village",Manhattan, West Village,March 31 2019,225
38638,Sara,entire home/apt,Light and Airy Upper East Side 1 BDR apartment,Manhattan, Upper East Side,June 26 2019,219
39267,Marie,entire home/apt,CENTRAL PARK LOFT all for YOU,Manhattan, Upper East Side,June 08 2019,99
39282,Gus,private room,Indie-Chic Share In Williamsburg,Brooklyn, Williamsburg,May 28 2019,69
39593,Myung,private room,"A room w/ a Manhattan view, longer stay",Queens, Sunnyside,April 12 2019,79
39704,Renée,entire home/apt,"Private, Large & Sunny 1BR w/W&D",Brooklyn, Bedford-Stuyvesant,June 22 2019,135
41348,Syl,entire home/apt,* Spacious GARDEN Park Slope Duplex* 6 people max,Brooklyn, Gowanus,July 06 2019,250
42580,Waldemar,private room,Parlor Room In Victorian Townhouse,Brooklyn, Clinton Hill,June 24 2019,70
42729,Annette,entire home/apt,House On Henry (2nd FLR Suite),Brooklyn, Carroll Gardens,June 18 2019,165
42882,Newyorkroomwithaview,private room,New York room with a view,Staten Island, St. George,June 13 2019,70
43957,Tessa,private room,Sunny cozy room in Brklyn townhouse,Brooklyn, Bushwick,June 19 2019,50
44096,Waundell,private room,Room with a View,Bronx, Highbridge,July 04 2019,40
44212,Bruce,private room,West Inn 2 - East Village,Manhattan, East Village,June 23 2019,125
44221,Coral,entire home/apt,Financial District Luxury Loft,Manhattan, Financial District,June 20 2019,196
44229,Carol,private room,BROOKLYN VICTORIAN STYLE SUITE.....,Brooklyn, Fort Greene,June 24 2019,110
44288,Sara,entire home/apt,Your own Lovely West Village Studio,Manhattan, West Village,June 01 2019,170
44506,Laurine,entire home/apt,ACCOMMODATIONS GALORE#3. 1-5 GUESTS,Manhattan, Harlem,May 26 2019,165
45556,Doug,private room,"Fort Greene, Brooklyn: Center Bedroom",Brooklyn, Fort Greene,June 30 2019,65
45936,Rahul,private room,Couldn't Be Closer To Columbia Uni,Manhattan, Morningside Heights,May 14 2019,99
45940,Miyoung,entire home/apt,Bright Spacious Luxury Condo,Brooklyn, Williamsburg,April 08 2019,200
46544,Monica,entire home/apt,Park Slope haven 15 mins from Soho,Brooklyn, Park Slope,June 05 2019,150
46723,Marylyn,private room,SAFE  AND BEAUTIFUL ACCOMODATION,Brooklyn, Bedford-Stuyvesant,May 19 2019,90
46911,Kathleen R.,private room,Large Room in private Brownstone in Park Slope,Brooklyn, Prospect Heights,June 24 2019,120
47199,Teresa,private room,"NEW YORK CITY, 1 BDRM.(NEAR CENTRAL PARK & METRO)",Manhattan, Upper East Side,June 24 2019,75
47926,Claudia,entire home/apt,LUX APT IN TIMES SQUARE NEW BUILDING,Manhattan, Hell's Kitchen,June 26 2019,275
48719,Shane,entire home/apt,Designer 1 BR Duplex w/ Terrace- Spectacular Views,Manhattan, Lower East Side,June 15 2019,299
50447,Laurie,entire home/apt,Lovely Apt & Garden;  Legal;  Best Area; Amenities,Brooklyn, South Slope,June 22 2019,135
51485,Erina,private room,Lower East Side $57~/night,Manhattan, Lower East Side,June 22 2019,83
51572,Lee,private room,Prime Location in Manhattan,Manhattan, Chelsea,June 18 2019,123
51850,Jullett,private room,( F) Excellent/Pvt Rm,Queens, Jamaica,May 20 2019,55
53137,Marlaine,entire home/apt,"Quiet, sunny Midtown Manhattan apt.",Manhattan, Hell's Kitchen,July 01 2019,195
53477,Mark,entire home/apt,3 floors of luxury!,Queens, Middle Village,April 27 2019,265
54158,Bob,entire home/apt,The Institute‚ÄîHeart of Williamsburg,Brooklyn, Williamsburg,June 20 2019,249
54508,Kathleen R.,private room,Sml Rm in pr Brst  Park Sl great for Med/students,Brooklyn, Prospect Heights,June 06 2019,100
54544,Wayne,entire home/apt,City Room - Private Penthouse Apt.,Manhattan, Harlem,June 22 2019,121
54626,Waundell,private room,Cozy bedroom by Yankee Stadium,Bronx, Highbridge,June 30 2019,45
54860,Jenny,private room,Great apartment with private bathroom and entrance,Manhattan, East Harlem,June 23 2019,100
55467,Paul,entire home/apt,Private Garden Apt ‚Ä¢ New Renovation,Brooklyn, Williamsburg,July 02 2019,140
55498,Tami,private room,Modern comfort in art infused landmark Brownstone,Brooklyn, Bedford-Stuyvesant,July 01 2019,71
55737,Pete,entire home/apt,Sleek & Comfortable Soho Apt,Manhattan, West Village,May 19 2019,199
55959,Gus,private room,Spacious Williamsburg Share w/ LOFT BED,Brooklyn, Williamsburg,June 10 2019,69
56467,Leonardo,entire home/apt,Cozy East Village Railroad 1 Bed!,Manhattan, East Village,July 01 2019,130
56525,Alex,entire home/apt,1 Bedroom Loft w/ Private Roof Deck,Brooklyn, Greenpoint,June 13 2019,195
56859,Wayne,private room,City Room - Private & Comfy Bedroom,Manhattan, Harlem,June 03 2019,64
57166,Vasili,entire home/apt,Elegant NYC Pad,Queens, Ditmars Steinway,June 17 2019,140
57297,S.M.,entire home/apt,"Clean & bright 1BR in Cobble Hill, GREAT location!",Brooklyn, Cobble Hill,June 24 2019,159
57468,Ori,entire home/apt,"Modern, Large East Village Loft",Manhattan, East Village,June 23 2019,189
57618,Ana,entire home/apt,"Great new apt, close to everything",Manhattan, Hell's Kitchen,June 09 2019,250
57740,I,entire home/apt,Quiet & Clean Retreat in the City,Manhattan, East Village,May 24 2019,239
57754,R,entire home/apt,Stylish Large Gramercy Loft!,Manhattan, Flatiron District,June 30 2019,305
57874,Simon,entire home/apt,The Brownstone-Luxury 1 Bd Apt/NYC,Manhattan, Harlem,June 26 2019,155
58059,Agnes,private room,PRIVATE Room on Historic Sugar Hill,Manhattan, Harlem,July 03 2019,60
58062,Linda,private room,South Slope Green,Brooklyn, Windsor Terrace,May 17 2019,135
58467,Dave,private room,"17 Flr. Manhattan Views, Nr. Subway",Manhattan, Roosevelt Island,May 08 2019,120
59014,Drica,entire home/apt,"Spacious 1BR, Adorable Clean Quiet",Manhattan, Lower East Side,January 02 2019,150
59642,Betty,entire home/apt,Franklin St Flat in Trendy Greenpoint Brooklyn,Brooklyn, Greenpoint,May 19 2019,135
59709,Ricardo & Ashlie,entire home/apt,"Artistic, Cozy, and Spacious w/ Patio! Sleeps 5",Manhattan, Chinatown,July 01 2019,250
60457,Jessica,entire home/apt,Spacious Greenwich Village Apt,Manhattan, Greenwich Village,May 11 2019,225
60666,Wayne,private room,City Room - Private Luxury Suite,Manhattan, Harlem,June 11 2019,92
60680,Mich,entire home/apt,The gem of the East Village,Manhattan, East Village,June 20 2019,99
60948,Laurine,entire home/apt,ACCOMMODATIONS GALORE #2,Manhattan, East Harlem,June 20 2019,140
61406,Bethania,private room,Great room in great location,Manhattan, Harlem,June 01 2019,80
61492,Tunji,private room,Exclusive Room with Private Bath in  LES,Manhattan, Chinatown,June 23 2019,120
61509,Anna/Fonzy,entire home/apt,"Quiet, clean midtown apt w. elevato",Manhattan, Midtown,April 30 2019,110
62095,Colette&Sean,entire home/apt,BK Sweet Suite w/Kitchen&FullBath,Brooklyn, East Flatbush,June 14 2019,65
62427,Brie,entire home/apt,Great East Village Apartment Rental,Manhattan, East Village,May 26 2019,130
62430,Sheila,entire home/apt,BROWNSTONE SUNDRENCHED BEAUTY,Brooklyn, Bushwick,June 22 2019,99
62452,Lissette,private room,A SpeciaL!! Private Room in NY,Staten Island, Tompkinsville,June 25 2019,36
62461,Lissette,private room,B NYC Staten Alternative...,Staten Island, Tompkinsville,June 10 2019,37
62787,Lissette,private room,C Private Room By The Ferry,Staten Island, Tompkinsville,July 02 2019,37
62891,Olivia,entire home/apt,Smallest House In The Village,Manhattan, East Village,May 24 2019,175
62903,Daniel,entire home/apt,Beautiful modern studio apartment in heart of NYC,Manhattan, Chelsea,June 21 2019,205
62925,Maya,entire home/apt,Beautiful Landmarked Duplex,Brooklyn, Greenpoint,June 16 2019,285
63299,Scott,private room,BROOKLYN > Guest Room w/ Queen Bed in Williamsburg,Brooklyn, Williamsburg,June 23 2019,59
63320,Lissette,private room,D Private Che@p Room 2 Explore NYC,Staten Island, Tompkinsville,July 02 2019,36
63360,Dennis & Naoko,entire home/apt,Safe cute near subway& Manhattan NY NY retro style,Queens, Astoria,June 24 2019,99
63546,Antonín,private room,Large and Cozy Private Bedroom,Brooklyn, Kensington,May 16 2019,39
63610,Vie,entire home/apt,DOMINIQUE'S NY mini efficiency* wifi*metro*quiet,Bronx, Eastchester,June 27 2019,105
63657,Renée,entire home/apt,"Private, Large & Sunny Top Floor Apt  w/W&D",Brooklyn, Bedford-Stuyvesant,June 25 2019,135
64000,Kristian & Di,private room,Williamsburg near soho. / loftbed,Brooklyn, Williamsburg,January 07 2019,60
64107,Niya,private room,BROOKLYN  STUDIO APARTMENT,Brooklyn, Crown Heights,June 24 2019,100
64277,Helene,private room,BEDROOM2 FOR RENT  10min from Manh,Brooklyn, Bedford-Stuyvesant,January 02 2019,70
64314,Debbie,private room,cozy bedroom in lovely garden apt,Brooklyn, Crown Heights,May 26 2019,110
64365,Anthony,private room,Crown Heights Garden Apt.,Brooklyn, Crown Heights,June 27 2019,60
64707,Tilly,entire home/apt,Amazing  Sunny & Breezy Home In the Heart of  NYC,Manhattan, Little Italy,January 02 2019,90
64837,Edward,private room,ENJOY Downtown NYC!!,Manhattan, East Village,June 23 2019,68
65019,Claire,entire home/apt,Charming UWS Treehouse Apt,Manhattan, Upper West Side,July 06 2019,115
65268,Juhli,private room,Share a HOME - $75 for 1 bdrm/++ for 2 - Brooklyn,Brooklyn, Bedford-Stuyvesant,January 05 2019,75
65562,Mary D,entire home/apt,CHARMING EAST VILLAGE 2 (or 1) BR,Manhattan, East Village,January 03 2019,129
65615,Valerie,entire home/apt,Farmhouse Apartment in Williamsburg,Brooklyn, Williamsburg,June 29 2019,130
65660,Larissa,entire home/apt,Bright+Spacious Williamsburg Abode!,Brooklyn, Williamsburg,July 07 2019,95
65813,Eric,private room,"Suite Sugar Hill, Harlem, Private Rm in Hosted Apt",Manhattan, Harlem,January 02 2019,75
66008,Melissa,entire home/apt,CHARMING CARROLL GARDENS APT.,Brooklyn, Carroll Gardens,July 01 2019,190
66026,Alex,private room,Private Bedroom Brownstone Brooklyn,Brooklyn, Crown Heights,June 30 2019,49
66251,Samir,entire home/apt,East Village Loft with Piano & Patio,Manhattan, East Village,June 25 2019,212
66275,Tony,private room,Lower East Side Magic Room,Manhattan, Lower East Side,June 23 2019,95
66451,Luis Fernando,entire home/apt,**Fantastic Williamsburg Apt**,Brooklyn, Williamsburg,February 16 2019,140
66718,Henning,entire home/apt,West Harlem Home Base - Eco-Apt.,Manhattan, Harlem,June 23 2019,135
66741,Stefano,entire home/apt,Charming Garden Apt in Park Slope,Brooklyn, Park Slope,June 23 2019,150
66974,Jana,entire home/apt,"Lovely, Modern, Garden Apartment",Brooklyn, Gowanus,July 01 2019,190
67288,Per,entire home/apt,Central Park 1BR sunny condo,Manhattan, East Harlem,June 15 2019,124
67299,Adrienne,entire home/apt,Cozy Garden Apartment  in Williamsburg,Brooklyn, Williamsburg,May 06 2019,135
67397,Elise,private room,SoHa comfort-by NW Central Park!,Manhattan, Morningside Heights,June 22 2019,122
68099,Deda,private room,Cozy room in Upper West Side,Manhattan, Upper West Side,June 25 2019,109
68403,Naimah,entire home/apt,The Cozy Brownstone Inn (discount)!,Brooklyn, Bedford-Stuyvesant,June 24 2019,145
68735,Violetta,entire home/apt,Prewar Penthouse w Private Terrace,Manhattan, Upper West Side,June 13 2019,195
68765,Jenna,entire home/apt,Designer 2.5 BR Loft in Carroll Gardens by Subway,Brooklyn, Carroll Gardens,June 27 2019,250
69894,Silvia,entire home/apt,"Nice renovated apt, prime location!",Manhattan, Upper West Side,June 11 2019,150
69921,Joab,private room,Brooklyn Writer's Nook,Brooklyn, Bushwick,June 29 2019,70
70095,Mary And Geoff,private room,Private Bedroom in Large NYC Apartment,Manhattan, Inwood,June 30 2019,90
70128,Eyal,private room,"Large, Sunny Room East Village NYC",Manhattan, East Village,January 10 2019,65
71010,Kurt,entire home/apt,All That Jazz. Uptown style on Sugar Hill.,Manhattan, Washington Heights,May 24 2019,250
71248,Jennifer,entire home/apt,Bright and lovely 1 bdrm apt in LES,Manhattan, Chinatown,June 17 2019,125
71366,Ruperto,entire home/apt,Beautiful One Bed West Village - 4 Month Special,Manhattan, West Village,June 25 2019,200
71812,Thai,entire home/apt,Condo Apartment with laundry in unit,Bronx, Kingsbridge,January 02 2019,90
72190,Hudson,entire home/apt,1BR: See Central Park from Terrace!,Manhattan, Upper West Side,February 15 2019,110
72265,Vanessa,private room,Private room in cozy Greenpoint,Brooklyn, Greenpoint,June 16 2019,59
74073,Daniel,entire home/apt,Food & Music Dream Apartment in Williamsburg,Brooklyn, Williamsburg,June 23 2019,195
74240,Patty,entire home/apt,French Garden cottage off Bedford,Brooklyn, Williamsburg,June 07 2019,169
74680,Nazleen,entire home/apt,One Bedroom Mini studio - Free WIFI,Queens, Astoria,May 31 2019,115
75193,Scott,private room,BROOKLYN > Guest Room w/ King Bed in Williamsburg,Brooklyn, Williamsburg,June 22 2019,69
75635,Patricia,entire home/apt,Bright Cozy Chinatown Studio Apt.,Manhattan, Lower East Side,June 27 2019,150
76761,Evelyn,entire home/apt,Eveland the Place to Stay & Enjoy a 5-‚≠êÔ∏è 2bdrm,Brooklyn, South Slope,June 28 2019,169
77765,The Box House Hotel,private room,Superior @ Box House,Brooklyn, Greenpoint,July 01 2019,179
77936,Moss Owen,private room,Hells Kitchen Garden of Eden,Manhattan, Hell's Kitchen,June 14 2019,150
79782,Pam,private room,"Williamsburg HUGE, PRIVATE BATH - Next to Train!",Brooklyn, Williamsburg,March 31 2019,120
80493,Jennifer,private room,Cozy room in East Village with AC,Manhattan, East Village,July 04 2019,71
82550,Christopher,entire home/apt,Columbia Castle 2 BR,Brooklyn, Brooklyn Heights,June 30 2019,200
82638,Sarah,entire home/apt,"Charming Artist's Flat, East Village",Manhattan, East Village,June 06 2019,169
82928,Ruthven,entire home/apt,BEAUTIFUL 2 BEDROOM APARTMENT,Brooklyn, Bedford-Stuyvesant,July 02 2019,185
83243,Julian,entire home/apt,Brooklyn Cove Studio Apt w/ Garden!!,Brooklyn, Bushwick,June 10 2019,65
83847,Yvette,entire home/apt,East Village Designer's 1-BR APT,Manhattan, East Village,January 02 2019,225
84010,The Box House Hotel,private room,Superior @ Box House,Brooklyn, Greenpoint,June 27 2019,179
84659,Kyle,entire home/apt,Large Studio--Heart of East Village,Manhattan, East Village,June 26 2019,139
84905,Ange,private room,Huge.Bright.Clean.Safe. Private Room,Manhattan, Two Bridges,June 23 2019,95
85094,Alex,entire home/apt,Garden 1BR/1BA Brownstone Apt - 2 blocks to subway,Brooklyn, Crown Heights,January 14 2019,79
86215,T,entire home/apt,MODERN SPACIOUS 2 BR APT DOWNTOWN MANHATTAN,Manhattan, Lower East Side,June 24 2019,150
89621,Marylyn,entire home/apt,"WONDERFUL, COMFORTABLE STUDIO",Brooklyn, Bedford-Stuyvesant,June 28 2019,90
93313,Nathalie,entire home/apt,MAISON DES SIRENES 2,Brooklyn, Bedford-Stuyvesant,June 23 2019,120
94035,Savannah,private room,"Modern, Safe, Clean, Bright Room in Astoria for 2",Queens, Astoria,July 06 2019,80
94477,Jason,entire home/apt,The Vernon On Greene,Brooklyn, Bedford-Stuyvesant,July 05 2019,175
94783,Keishera,entire home/apt,"Beautiful, Bright‚Äôs, Warm & Spacious 1.5BR Apt",Brooklyn, Crown Heights,June 21 2019,120
96471,Sahr,private room,"The Brooklyn Waverly, One Bedroom",Brooklyn, Clinton Hill,June 07 2019,165
99070,Liz And Melissa,shared room,Comfortable Cozy Space in El Barrio,Manhattan, East Harlem,May 26 2019,65
99085,Wanda,entire home/apt,Sunny Bklyn Jewel  Fort Greene JULY  - AUG 2019,Brooklyn, Fort Greene,May 01 2019,123
100002,Giorgio,private room,"MANHATTAN Neat, Nice, Bright ROOM",Manhattan, Washington Heights,June 17 2019,67
100184,,private room,Bienvenue,Queens, Queens Village,July 08 2019,50
100186,Mi,entire home/apt,Large Brand New Park Slope 1BR,Brooklyn, Gowanus,June 28 2019,130
101053,Lee And Tara,private room,Colorful Artistic Williamsburg Apt,Brooklyn, Williamsburg,March 01 2019,100
103161,Ade,entire home/apt,Artsy TopFloor Apt in PRIME BEDFORD Williamsburg,Brooklyn, Williamsburg,June 26 2019,190
